GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US51095,51095,"James City County, Virginia",27.5,23.5,50.9
0500000US51107,51107,"Loudoun County, Virginia",34.8,27.3,62.1
0500000US51121,51121,"Montgomery County, Virginia",19.5,22.1,41.5
0500000US51153,51153,"Prince William County, Virginia",23.7,16.3,40.1
0500000US51161,51161,"Roanoke County, Virginia",23.9,10.9,34.8
0500000US51165,51165,"Rockingham County, Virginia",14.2,10.5,24.7
0500000US51177,51177,"Spotsylvania County, Virginia",21.3,12.1,33.4
0500000US51179,51179,"Stafford County, Virginia",24.9,16.4,41.3
0500000US51199,51199,"York County, Virginia",25.8,19.4,45.2
0500000US51510,51510,"Alexandria city, Virginia",31.3,31.2,62.5
0500000US51550,51550,"Chesapeake city, Virginia",21,14.1,35.1
0500000US51650,51650,"Hampton city, Virginia",16.4,11.7,28.2
0500000US51680,51680,"Lynchburg city, Virginia",20.9,12.4,33.3
0500000US51700,51700,"Newport News city, Virginia",16.6,8.7,25.3
0500000US51710,51710,"Norfolk city, Virginia",18,11.1,29.2
0500000US51740,51740,"Portsmouth city, Virginia",14.7,7.7,22.5
0500000US51760,51760,"Richmond city, Virginia",23,15.6,38.6
0500000US51770,51770,"Roanoke city, Virginia",13.2,10,23.2
0500000US51800,51800,"Suffolk city, Virginia",14.5,11.6,26.1
0500000US51810,51810,"Virginia Beach city, Virginia",22.2,13.1,35.3
0500000US53005,53005,"Benton County, Washington",17.8,11.9,29.8
0500000US53007,53007,"Chelan County, Washington",17.1,9.9,27
0500000US53009,53009,"Clallam County, Washington",14.4,12.2,26.6
0500000US53011,53011,"Clark County, Washington",20.7,10.9,31.6
0500000US53015,53015,"Cowlitz County, Washington",10,7.3,17.3
0500000US53021,53021,"Franklin County, Washington",11.4,4.7,16.1
0500000US53025,53025,"Grant County, Washington",10.4,6.3,16.7
0500000US53027,53027,"Grays Harbor County, Washington",9.4,4.6,14
0500000US53029,53029,"Island County, Washington",20.4,12.8,33.2
0500000US53033,53033,"King County, Washington",30.8,20.7,51.5
0500000US53035,53035,"Kitsap County, Washington",21.5,12,33.5
0500000US53041,53041,"Lewis County, Washington",9.9,7.8,17.6
0500000US53053,53053,"Pierce County, Washington",16.7,9.3,26
0500000US53057,53057,"Skagit County, Washington",17.9,10.1,28
0500000US53061,53061,"Snohomish County, Washington",22.1,9.8,31.9
0500000US53063,53063,"Spokane County, Washington",19.6,11.3,30.8
0500000US53067,53067,"Thurston County, Washington",22.1,13.6,35.7
0500000US53073,53073,"Whatcom County, Washington",24.9,10.9,35.8
0500000US53077,53077,"Yakima County, Washington",10.6,7,17.6
0500000US54003,54003,"Berkeley County, West Virginia",15.3,6.4,21.7
0500000US54011,54011,"Cabell County, West Virginia",16.9,10.1,27
0500000US54033,54033,"Harrison County, West Virginia",12.8,8.5,21.3
0500000US54039,54039,"Kanawha County, West Virginia",15.7,9.9,25.7
0500000US54061,54061,"Monongalia County, West Virginia",21.9,19.3,41.2
0500000US54081,54081,"Raleigh County, West Virginia",13.8,6.5,20.3
0500000US54107,54107,"Wood County, West Virginia",13.9,8.3,22.3
