"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Iberia Parish, LA"	"22045"	21	9464	221.9
	"Jefferson Parish, LA"	"22051"	92	57399	160.3
	"Lafayette Parish, LA"	"22055"	26	29787	87.3
	"Livingston Parish, LA"	"22063"	17	18682	91.0 (Unreliable)
	"Natchitoches Parish, LA"	"22069"	14	4217	332.0 (Unreliable)
	"Orleans Parish, LA"	"22071"	86	48418	177.6
	"Ouachita Parish, LA"	"22073"	36	19044	189.0
	"Rapides Parish, LA"	"22079"	41	16688	245.7
	"St. John the Baptist Parish, LA"	"22095"	10	5982	167.2 (Unreliable)
	"St. Landry Parish, LA"	"22097"	42	10403	403.7
	"St. Martin Parish, LA"	"22099"	12	7187	167.0 (Unreliable)
	"St. Mary Parish, LA"	"22101"	10	7028	142.3 (Unreliable)
	"St. Tammany Parish, LA"	"22103"	22	35350	62.2
	"Tangipahoa Parish, LA"	"22105"	25	15689	159.3
	"Terrebonne Parish, LA"	"22109"	17	14859	114.4 (Unreliable)
	"Washington Parish, LA"	"22117"	12	5752	208.6 (Unreliable)
	"Webster Parish, LA"	"22119"	11	5159	213.2 (Unreliable)
	"Androscoggin County, ME"	"23001"	16	15422	103.7 (Unreliable)
	"Cumberland County, ME"	"23005"	27	42423	63.6
	"Kennebec County, ME"	"23011"	17	17582	96.7 (Unreliable)
	"Oxford County, ME"	"23017"	10	8390	119.2 (Unreliable)
	"Penobscot County, ME"	"23019"	16	21049	76.0 (Unreliable)
	"Somerset County, ME"	"23025"	14	7734	181.0 (Unreliable)
	"York County, ME"	"23031"	16	29822	53.7 (Unreliable)
	"Allegany County, MD"	"24001"	20	9237	216.5
	"Anne Arundel County, MD"	"24003"	73	81999	89.0
	"Baltimore County, MD"	"24005"	133	110470	120.4
	"Calvert County, MD"	"24009"	11	15098	72.9 (Unreliable)
	"Carroll County, MD"	"24013"	17	27490	61.8 (Unreliable)
	"Cecil County, MD"	"24015"	18	15723	114.5 (Unreliable)
	"Charles County, MD"	"24017"	22	25936	84.8
	"Frederick County, MD"	"24021"	33	38523	85.7
	"Harford County, MD"	"24025"	33	37874	87.1
	"Howard County, MD"	"24027"	14	48266	29.0 (Unreliable)
	"Montgomery County, MD"	"24031"	49	149457	32.8
	"Prince George's County, MD"	"24033"	146	129251	113.0
	"St. Mary's County, MD"	"24037"	22	16694	131.8
	"Washington County, MD"	"24043"	19	22125	85.9 (Unreliable)
	"Wicomico County, MD"	"24045"	28	12423	225.4
	"Baltimore city, MD"	"24510"	175	75853	230.7
	"Barnstable County, MA"	"25001"	16	28345	56.4 (Unreliable)
	"Berkshire County, MA"	"25003"	23	17807	129.2
	"Bristol County, MA"	"25005"	63	83472	75.5
	"Essex County, MA"	"25009"	72	113861	63.2
	"Hampden County, MA"	"25013"	54	63086	85.6
	"Hampshire County, MA"	"25015"	14	19623	71.3 (Unreliable)
	"Middlesex County, MA"	"25017"	91	225242	40.4
	"Norfolk County, MA"	"25021"	50	103643	48.2
	"Plymouth County, MA"	"25023"	52	79114	65.7
	"Suffolk County, MA"	"25025"	65	89614	72.5
	"Worcester County, MA"	"25027"	81	123178	65.8
	"Allegan County, MI"	"26005"	10	16104	62.1 (Unreliable)
	"Barry County, MI"	"26015"	11	8582	128.2 (Unreliable)
	"Bay County, MI"	"26017"	22	14106	156.0
	"Berrien County, MI"	"26021"	36	20429	176.2
	"Calhoun County, MI"	"26025"	23	17617	130.6
	"Clinton County, MI"	"26037"	10	11351	88.1 (Unreliable)
	"Eaton County, MI"	"26045"	16	14765	108.4 (Unreliable)
	"Genesee County, MI"	"26049"	80	56203	142.3
	"Ingham County, MI"	"26065"	33	31875	103.5
	"Isabella County, MI"	"26073"	10	7096	140.9 (Unreliable)
	"Jackson County, MI"	"26075"	27	22171	121.8
	"Kalamazoo County, MI"	"26077"	20	29985	66.7
	"Kent County, MI"	"26081"	61	81791	74.6
	"Lapeer County, MI"	"26087"	20	13848	144.4
	"Lenawee County, MI"	"26091"	16	13535	118.2 (Unreliable)
	"Livingston County, MI"	"26093"	18	30671	58.7 (Unreliable)
	"Macomb County, MI"	"26099"	143	127167	112.5
	"Monroe County, MI"	"26115"	20	21804	91.7
	"Montcalm County, MI"	"26117"	11	8784	125.2 (Unreliable)
	"Muskegon County, MI"	"26121"	30	22649	132.5
	"Newaygo County, MI"	"26123"	11	6700	164.2 (Unreliable)
	"Oakland County, MI"	"26125"	152	183543	82.8
	"Ottawa County, MI"	"26139"	15	35053	42.8 (Unreliable)
	"Saginaw County, MI"	"26145"	39	25004	156.0
	"St. Clair County, MI"	"26147"	32	24352	131.4
	"Sanilac County, MI"	"26151"	13	5651	230.0 (Unreliable)
	"Shiawassee County, MI"	"26155"	11	10081	109.1 (Unreliable)
	"Van Buren County, MI"	"26159"	14	10156	137.8 (Unreliable)
